Gene	JXQ-3D-1279R1	JXQ-3D-1279R2	JXQ-3D-1279R3	JXQ-3D-1279R4	JXQ-3D-1279R5	JXQ-3D-1279R6	JXQ-3D-1279R7	JXQ-3D-1279R8	JXQ-3D-1279R9	JXQ-3D-1405R1	JXQ-3D-1405R2	JXQ-3D-1405R3	JXQ-3D-1405R4	JXQ-3D-1436R1	JXQ-3D-1436R2	JXQ-3D-1436R3	JXQ-3D-1436R4	JXQ-3D-1436R5	JXQ-3D-1436R6	JXQ-3D-4160R1	JXQ-3D-4160R2	JXQ-3D-4160R3	JXQ-3D-4256R1	JXQ-3D-4256R2	JXQ-3D-4256R3	JXQ-3D-668R1	JXQ-3D-668R2	JXQ-3D-668R3	JXQ-3D-668R4	JXQ-3D-902R1	JXQ-3D-902R2	JXQ-3D-902R3	JXQ-3D-902R4	JXQ-3D-902R5	JXQ-3D-902R6	JXQ-3D-902R7	JXQ-3D-902R8	JXQ-3D-902R9
OLR1	-6.6439	-6.6439	-6.6439	-6.6439	-3.3446	-6.6439	-6.6439	-5.058	-6.6439	3.1751	3.81	5.7807	4.8674	-6.6439	-6.6439	-6.6439	-6.6439	-5.105	-5.0703	-6.6439	-6.6439	-5.2497	5.1484	6.5206	7.001	-3.7823	-2.6963	-6.6439	-1.7192	1.2354	3.0137	-6.6439	-2.9222	1.1764	-4.3615	-1.9562	2.3003	2.7461
CD74	-1.8217	-3.9331	-3.4191	-4.7077	-2.5663	-1.9795	-0.5537	0.5783	-2.7029	9.8182	10.6533	9.9476	8.2196	4.5931	5.1456	4.8112	-0.1212	3.9971	2.1814	7.963	9.8473	8.8716	4.3014	1.7443	4.0776	1.0523	1.951	-2.7553	6.5171	8.8233	8.0405	0.7494	8.6412	-0.4585	7.4216	6.2032	8.5319	7.808
PTGIS	-3.4442	-0.6108	0.7303	2.8449	3.0996	-0.5729	0.3068	0.3328	3.3659	0.8008	2.3834	1.0556	2.6096	-5.7278	-6.6439	-6.6439	-4.9046	-5.7519	-6.6439	-6.6439	-6.6439	-6.6439	-4.6454	-2.4677	-1.6376	-2.73	-2.6611	-4.2811	-0.3195	6.7694	7.2737	-0.005	5.6498	-5.7734	6.095	4.2315	9.3812	7.0288
TMPRSS2	-6.6439	-5.8765	-6.6439	-6.6439	-2.3389	-6.6439	-6.6439	-0.244	-6.6439	3.7372	4.8202	4.5028	3.4714	-6.6439	-5.3881	-6.6439	-5.4324	-6.6439	-5.3232	2.3621	2.1565	2.0702	4.6316	4.4342	4.4145	-5.2746	-6.6439	-5.3817	-3.482	2.2938	5.2225	-3.9526	1.2141	-4.7196	1.9046	0.7756	5.0734	4.1164
SLIT3	4.4703	5.2702	4.0985	4.5136	3.0384	2.6263	4.1028	1.281	4.1014	-5.2829	-6.6439	-1.9811	-4.7804	-3.7435	-4.6447	-4.2787	-4.3049	-4.7667	-4.0389	-5.7572	-5.7311	-6.6439	-0.9849	-1.9542	-2.9666	7.3149	7.0816	5.5911	2.8335	-4.7578	-6.6439	-6.6439	-5.6802	-6.6439	-5.7151	-4.8325	-5.7086	-5.6744
SPESP1	5.085	4.3668	5.324	4.3087	3.9981	4.4842	5.2014	3.7501	5.1268	-6.6439	-6.6439	-6.6439	-3.7153	-1.0623	-1.4572	-1.5006	-1.976	-4.5227	-1.7959	-6.6439	-6.6439	-6.6439	-4.6685	-6.6439	-4.4128	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439
ST14	1.9226	-3.3996	-3.5069	-2.4517	6.1037	-4.1449	-2.1501	6.9036	-3.5883	7.3254	7.5983	6.7608	7.7298	-2.0384	-3.0385	-2.3253	-3.9898	-0.9886	-2.1298	8.2743	8.0963	8.0071	5.5034	5.6402	5.681	-6.6439	-3.0588	-4.2595	5.9011	0.2234	4.3554	-1.9594	2.458	-1.9262	-0.3252	1.2662	6.0385	3.237
MAL2	3.1498	-5.2362	-2.9871	-4.5162	8.0696	-3.9557	-1.7065	8.4281	-3.1494	8.7401	7.6387	7.97	8.2042	1.878	0.8143	0.2608	-2.9006	1.0358	0.2739	7.8596	8.219	8.8579	6.6813	5.3718	6.3284	-3.9231	-2.8496	-3.7205	6.1269	1.0115	4.3089	-2.8517	1.5504	-1.7074	3.2662	2.2669	6.5256	3.9032
LOC375295	3.7589	3.7729	4.361	3.8051	3.4798	4.18	3.8148	3.5943	4.3066	1.3002	1.654	1.3539	2.9621	1.9667	2.4241	1.1821	2.3932	0.5902	1.0222	-6.6439	-6.6439	-6.6439	-2.7484	-6.6439	-3.1851	3.3708	3.7643	4.1877	3.6845	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439
ESM1	-1.3834	-4.9516	-2.5842	-0.7066	-4.9976	0.827	0.7912	-6.6439	-4.9167	-6.6439	1.5209	-2.2531	-4.9367	5.961	6.9386	4.7548	5.1435	8.2786	6.2204	-6.6439	-6.6439	-6.6439	-6.6439	-4.8738	-4.0441	-3.5481	0.7745	-6.6439	-4.8255	1.2241	-3.1694	4.5738	2.5717	6.2158	-2.7405	-2.3296	0.7569	3.0359
CEACAM5	-4.8167	-4.3555	-6.6439	-4.78	1.6694	-5.3678	-6.6439	-0.2838	-6.6439	6.8404	6.055	5.9224	5.214	-6.6439	-5.4548	-4.844	-6.6439	-4.7706	-6.6439	5.8879	5.7647	3.3222	-5.9814	-6.6439	-4.2093	-6.6439	-6.6439	-6.6439	-5.3415	-5.4154	-6.0032	-5.4684	-6.6439	-5.4491	-6.6439	-6.6439	-4.1149	-6.6439
CD70	4.8865	2.0338	1.0602	1.5092	-6.6439	1.2415	4.485	-1.8068	2.2615	-6.6439	-6.6439	-2.1991	-0.9206	-3.956	-2.6312	-2.673	3.8346	-3.4938	-6.6439	-6.6439	-4.0113	-4.1877	0.5208	-1.8069	-1.4841	-6.6439	-3.9039	-6.6439	-3.8822	5.2859	7.3437	6.2743	5.7953	1.1676	5.6984	4.6565	6.6531	6.9168
COL5A1	5.6462	6.2874	4.1085	4.9526	1.8497	4.6489	5.0184	1.3402	4.3858	-2.0739	1.1649	-2.2665	2.3255	1.5119	0.7423	1.3362	2.8532	1.5329	1.8722	-4.8632	-6.6439	-6.6439	0.5032	0.5697	3.3875	7.8325	5.8004	7.9328	-5.1194	-6.2804	-4.4874	-5.2593	-5.002	-5.2379	-5.3567	-5.5681	-6.6439	-4.86
LOC100505817	-0.5298	1.157	-3.8433	-0.9016	0.8079	-0.9098	0.2203	2.5966	-1.853	7.8049	7.4259	8.2224	6.7056	5.5657	6.2529	5.4963	3.0225	6.0492	6.9197	7.6146	7.591	7.5873	-4.4522	-6.6439	-4.1855	2.0118	-4.9635	-6.6439	3.9909	5.315	6.6304	6.9164	6.3126	5.7404	6.4127	6.2478	6.7846	7.4411
LOC100505633	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	5.4175	5.2725	5.8872	4.0185	-3.3608	-6.6439	-6.6439	-1.4923	-6.6439	-6.6439	-4.3181	-6.6439	-3.9657	-6.6439	-4.2041	-4.1466	-3.2879	-4.1695	-2.917	1.5405	0.7	4.4565	0.3382	3.9509	-4.2996	3.329	3.1057	4.6989	3.3917
NPPB	-3.7232	-6.6439	-6.6439	-2.7745	-6.6439	-2.1204	-6.6439	-3.6055	-3.6591	-1.2071	-0.4675	-1.3567	-3.6842	-6.6439	-3.7176	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-3.8636	4.747	6.4143	7.8161	0.09	-1.7027	4.1702	-2.0778	4.6267	4.3285	3.1543	1.5194	3.7449	5.1196	4.1054	2.6399	3.0238
KRT20	-4.0391	-6.6439	-6.6439	-3.9965	-4.0756	-3.3949	-4.1505	-2.284	-6.6439	7.1398	7.3314	6.2125	5.839	-3.0573	-0.7438	-1.8249	-6.6439	-1.3888	-2.5121	5.9946	6.116	6.7186	-4.9106	-2.7418	-6.6439	-4.6758	-6.6439	-6.6439	-4.6714	-4.7647	-5.5633	-2.4288	-4.7056	-4.8075	-6.6439	-5.5389	-2.53	-6.6439
TCN1	-2.0339	-4.6529	-6.6439	-2.6293	-0.2626	-4.5509	-6.6439	0.9787	-6.6439	-0.7972	1.7194	0.7281	-1.8273	6.537	6.3295	5.0178	7.0901	4.7124	4.2336	6.7617	5.4134	2.8216	-3.4686	-4.5687	-6.6439	-6.6439	-3.1938	-4.6572	-2.7884	3.9896	3.5401	-0.6962	5.1394	1.9374	5.2085	3.9021	5.1835	5.0213
KLK5	4.8844	-6.6439	-3.325	-6.6439	9.5249	-6.6439	-1.5957	10.0532	-6.6439	-6.6439	-3.1057	-2.6837	-1.6769	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	3.9403	0.2197	1.3885	-3.9727	-6.6439	-1.6691	-6.6439	-4.5335	-6.6439	5.7094	-2.9025	-5.4501	-4.6808	-6.6439	-3.3354	-3.2749	-5.4241	-2.1215	-6.6439
MIR205HG	1.4138	-6.6439	-6.6439	-6.6439	4.8905	-6.6439	-6.6439	4.5801	-6.6439	-6.6439	-6.6439	-3.392	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	6.4831	5.2326	5.0511	2.5788	-0.4793	0.4608	-6.6439	-6.6439	-6.6439	4.3784	-3.0752	-6.6439	-6.6439	-3.0013	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439
ROBO4	-3.8411	-5.4966	-6.6439	-4.0701	-5.533	-3.7047	-5.5809	-4.34	-3.5482	-6.6439	-6.6439	-5.652	-6.6439	3.2248	4.2408	1.9171	3.3813	3.9975	3.7804	-0.8583	-2.5489	-1.2296	-5.5779	-6.6439	-4.2838	-5.399	-6.6439	-2.2961	-1.29	3.3538	4.1726	5.0243	4.8325	4.8504	4.4569	4.5245	4.4998	5.2593
SAA2	-4.6613	-6.6439	-6.6439	-5.0405	-2.3856	-4.9677	-2.0947	-1.2497	-4.2816	0.2578	2.5968	2.8092	-3.818	-4.9967	-4.3354	-6.6439	-3.9167	-4.2895	-6.6439	2.197	-0.2253	1.1984	-4.7562	-6.6439	-4.9354	-6.6439	-6.6439	-6.6439	-3.1597	6.313	7.1172	1.3264	6.77	-1.0958	4.2785	3.7632	5.868	6.549
NLRP2	-4.8363	-6.6439	-6.6439	-5.4453	-4.4301	-3.9258	-4.931	-5.3973	-6.6439	-0.9871	-0.6198	4.5656	-1.9	-5.4084	-5.4701	-4.4257	-4.8864	-4.3451	-3.961	3.7973	3.7434	3.8661	7.5781	8.2172	8.4805	1.2165	1.5538	1.9663	5.1899	2.5365	3.1708	0.8033	3.5243	2.4642	1.8851	1.5517	3.4193	2.5443
KLK10	0.52	-5.3696	-5.3667	-6.6439	6.0579	-5.2891	-3.336	7.9775	-5.3399	5.4039	3.7994	4.5771	4.7639	-6.6439	-6.6439	-5.4053	-6.6439	-4.6737	-4.6343	5.6877	5.6459	4.269	-4.0332	-3.529	-2.2999	-6.6439	-5.2775	-1.461	2.1595	-3.1456	0.0422	-4.283	1.8559	-3.9107	-2.5333	-0.7884	3.9816	-1.0108
S100A14	1.3947	-3.0368	-6.6439	-6.6439	4.5585	-2.9127	-2.9398	5.6025	-3.6531	6.0513	6.9843	7.8168	6.082	-2.7076	-3.3446	-4.2413	-4.2676	-3.293	-3.2455	5.1197	0.3109	0.2973	7.7122	5.5542	5.9791	-3.1727	-4.0644	-3.3347	4.9954	-2.7446	-3.5187	-6.6439	-1.8372	-3.3354	-3.2749	-3.8404	-2.3335	-2.6584
MAGEA6	-4.7945	-6.6439	-4.774	-3.9672	-6.6439	-2.1338	-6.6439	-6.6439	-6.6439	4.7341	5.5758	5.6965	6.1181	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-4.799	-3.0856	-6.6439	4.7928	4.9317	5.2021	-6.6439	0.3176	-6.6439	-3.5582	0.4952	-6.6439	-6.6439	-1.8829	-4.7824	-6.6439	-6.6439	-1.9396	-1.8716
CGB	0.6391	1.4457	-0.9461	0.9817	0.1683	-0.1956	2.0683	-0.1732	-0.8326	-2.3685	-6.6439	-6.6439	-6.6439	5.2052	3.3943	3.6498	3.7405	3.8437	5.051	-6.6439	-6.6439	-6.6439	0.8033	-3.9479	-6.6439	-3.0069	-6.6439	-1.3624	6.9978	5.0829	4.1217	7.7744	0.8402	-0.7595	5.7262	5.4154	4.5303	5.1204
CPZ	4.5583	5.8978	2.8649	3.9741	6.0255	2.9292	2.1889	5.4689	4.6977	-6.6439	-4.2228	-3.5618	-4.4032	1.5438	1.6039	6.4143	4.8213	4.4961	1.5638	-3.1989	-3.4092	-4.3126	4.5633	3.1985	4.3341	1.1668	1.0512	2.5463	5.5407	-3.2491	-5.2739	-6.6439	-6.6439	-5.1446	-5.1008	-5.7816	-5.0919	-5.0449
RNASE1	-6.6439	-6.6439	-6.6439	-4.0835	3.1703	-6.6439	-0.8107	0.5498	-6.6439	4.3817	1.1223	3.5824	3.7522	2.1595	1.7683	-0.6109	0.8206	0.2585	-0.1004	-6.6439	-1.5035	-6.6439	3.2844	2.0213	-0.273	-3.9615	-6.6439	1.8671	3.8264	3.2971	7.5269	-3.2734	5.1692	-4.1118	6.0205	6.2954	6.6205	5.5102
HLA-DPA1	-4.0223	-6.6439	-6.6439	-6.6439	-4.8365	-3.3769	-6.6439	-4.7067	-6.6439	6.6797	8.0695	7.5128	4.7567	0.4916	1.4683	0.4224	-1.6586	0.9828	0.0997	1.3651	5.2342	3.8817	-4.1292	-4.7068	-3.3348	3.2928	4.1117	1.0771	-2.9588	5.2479	4.6156	-4.8179	4.7955	-4.0083	2.8738	-0.1198	3.0134	3.184
SPOCK2	-1.0608	-3.5644	-5.8382	-4.3813	1.0593	-4.0808	-5.9056	4.6275	-5.8187	7.3749	7.2424	6.659	7.456	-5.8002	-4.4163	-4.059	-5.0139	-4.9216	-4.8847	4.3038	0.0912	5.4865	-2.4389	-1.5222	-1.3571	-5.2212	-5.2334	-4.2983	5.0287	-5.2956	-3.2308	-5.8578	-6.6439	-3.8499	-3.4483	-3.9853	0.0372	-6.6439
PAGE4	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-3.1352	-6.6439	-6.6439	-6.6439	-3.3871	-3.0327	-2.0537	-6.6439	-6.6439	-6.6439	-3.313	-2.4174	-6.6439	-2.2397	-3.2843	-6.6439	-3.425	8.4759	10.5723	10.2813	-3.1	-6.6439	-1.7733	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439
LAYN	5.4085	5.1636	6.0383	5.4419	5.2584	6.5076	5.041	4.8806	6.0711	-4.2977	-2.3407	1.2222	-3.0055	4.4881	4.8274	3.8599	3.0728	4.4684	4.2724	-3.5166	-6.6439	-5.65	3.7545	4.1462	4.3999	-1.3523	-1.3252	-1.8381	-4.814	-4.1378	-4.6722	-4.9689	-3.5693	-3.0314	-6.6439	-3.6369	-4.8887	-2.2544
SPINK1	-6.6439	-1.612	-6.6439	-6.6439	-4.048	0.1539	-6.6439	-0.4105	-6.6439	8.6647	9.73	8.9574	7.5141	-0.2256	-0.9093	1.3463	0.0704	1.5042	1.4113	-0.2541	-0.8667	-6.6439	-1.759	-3.8976	-1.4357	-2.0093	-2.9703	-1.2138	-6.6439	-6.6439	0.5335	-6.6439	-6.6439	-2.1814	-0.8334	1.705	-2.4987	-1.4714
FGF19	-6.6439	-6.6439	-6.6439	-4.9552	-6.6439	-3.2406	-5.0804	-6.6439	-6.6439	8.047	9.1565	5.9101	7.6582	-6.6439	-6.6439	-5.016	-4.2968	-6.6439	-3.6473	-2.0286	-2.413	-6.6439	-5.0765	-4.8969	-3.1981	-4.8532	-4.867	-3.7335	-6.6439	-3.3147	-2.6378	-6.6439	-3.6122	-4.9787	-2.074	-5.086	5.8812	-0.073
TSPAN8	-6.6439	-4.2861	-3.4298	-4.2639	-2.9641	-3.3135	-3.574	-2.409	-2.6482	9.9262	9.1643	8.7308	8.275	0.5901	-0.2766	-1.4508	0.2261	-0.9458	-1.8676	-0.0898	-6.6439	-4.4342	-4.4071	-2.7989	-3.2712	-6.6439	-2.7594	-4.2908	-2.7356	2.5327	4.5806	-3.4708	4.097	-1.9635	3.4626	-0.2249	5.0919	3.2125
NID1	4.5696	4.7469	4.0661	5.8217	2.0316	4.9639	5.7195	-0.6069	5.1186	-6.6439	-4.3922	-5.9257	-3.3436	-2.8703	-4.8994	-4.63	2.5488	-4.859	-4.6586	-5.8147	-4.3112	-6.2127	1.3445	1.7329	2.2676	4.8576	4.8733	5.7714	1.5182	-5.7782	-4.3917	-0.5076	-6.6439	-1.2104	-6.6439	-2.982	-5.7684	-3.3563
MAGEA3	-0.0873	-4.7547	0.3622	-4.7346	-4.0203	3.8607	-4.0958	-2.6797	-2.4901	5.6185	5.7103	5.8979	6.249	-4.6868	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-3.9414	-6.6439	4.8086	4.7713	5.1613	-4.6263	-5.3196	-6.6439	-6.6439	-2.277	-6.6439	-3.4926	-3.3369	-2.5437	-3.9127	-6.6439	-3.9011	-6.6439
SPG20	4.0393	4.1367	4.2837	4.4862	3.1806	3.4017	4.4021	3.2919	3.9759	2.0897	2.5683	2.3707	2.4021	4.7336	4.6417	4.3967	4.8319	4.4812	4.411	-6.6439	-6.6439	-6.6439	4.9178	3.4935	3.602	4.252	4.6827	4.1892	2.3732	-3.4634	-4.7914	-5.7643	-5.6821	-6.6439	-4.755	-6.1739	-4.579	-3.9989
UGT1A10	-4.3668	2.7784	3.6342	2.145	0.936	-0.2581	2.2292	1.0415	1.8037	5.0661	5.6526	3.9962	4.5626	-6.6439	-4.3617	-6.6439	-6.6439	-4.6383	-5.0186	-5.1004	-5.0632	-5.7494	-6.6439	-6.6439	-6.6439	6.2297	6.7732	3.6268	2.8618	2.6069	4.1439	-2.6261	-1.2243	-5.0852	2.0417	0.0894	3.626	2.1116
BSPRY	0.7404	-6.6439	-5.0626	-5.0475	5.8349	-6.6439	-3.0979	5.6884	-3.8024	4.2109	3.9454	3.8972	4.4204	-3.7661	-3.4982	-2.804	-6.6439	-2.5282	-2.0412	4.8199	4.732	5.328	3.8619	3.0771	3.6869	-6.6439	-6.6439	-6.6439	1.7386	-2.9045	-4.4971	-6.6439	-4.223	-3.4891	-6.6439	-2.7221	-0.138	-4.9679
ADAMTS1	5.5865	7.3588	6.7918	7.029	4.3055	6.6116	5.2126	6.0018	6.3955	-4.4332	-2.5022	-3.8975	-4.6251	-1.4849	-3.0712	-2.4509	-1.8732	-4.2868	-2.5087	-5.6569	-6.6439	-6.6439	2.3941	2.394	3.9435	1.8013	-1.0639	2.3338	-5.5497	0.2061	-2.5016	-1.8988	-3.1985	-3.8393	-2.8843	-6.1111	-4.2596	-2.5044
CSAG1	-3.1222	-6.6439	-3.9779	-6.6439	-6.6439	-3.8679	-6.6439	-3.8877	-6.6439	5.3976	5.9341	5.3578	5.3288	-6.6439	-6.6439	-6.6439	-6.6439	-3.948	-6.6439	-6.6439	-6.6439	-6.6439	5.2827	4.9848	5.1266	-6.6439	-6.6439	-3.987	-6.6439	-3.9377	-6.6439	-3.1384	-3.8692	-6.6439	-6.6439	-4.8893	-3.9194	-3.8592
SCEL	-1.1046	-6.6439	-4.977	-4.6635	4.0275	-5.2728	-6.6439	5.927	-6.6439	5.1444	4.5536	5.279	4.2157	0.8702	-0.2298	-4.7294	-2.1415	-1.0871	-1.2305	6.7215	4.97	4.4193	0.0166	-1.9447	-3.0032	-6.6439	-4.5682	-6.6439	6.3473	2.9862	0.3163	-3.407	4.4353	-1.2271	0.4343	2.0952	6.0668	4.3904
PPP2R2C	4.3492	4.0519	3.1728	4.3962	5.1166	2.4429	3.9474	4.4115	4.2942	-6.6439	-5.5194	-6.6439	-5.0497	4.3706	4.4197	4.5449	4.1341	5.6184	4.7509	-6.6439	-5.6344	-6.6439	0.9287	-5.5911	-2.8988	-3.9197	-6.6439	-0.7745	-1.8942	-2.3919	-1.9608	-5.6681	-1.4998	-4.3334	-4.6041	-3.0493	-3.262	0.5257
PRRX1	-0.3654	1.4817	-1.1261	0.4103	-6.6439	1.0244	-0.498	-6.6439	-1.7063	-5.6178	-6.6439	-6.6439	-6.6439	6.2562	5.3026	4.8698	4.2742	4.5451	3.8631	-5.5585	-6.6439	-5.6393	-6.6439	-6.6439	-6.6439	0.351	1.8336	-6.6439	-6.6439	-6.6439	-6.0644	-6.6439	-5.4702	-6.6439	-6.6439	-5.6291	-6.6439	-5.4636
MAGEA12	-2.5124	-6.6439	-6.6439	-6.6439	-6.6439	-3.1157	-6.6439	-4.799	-6.6439	4.9772	5.0552	5.205	5.229	-6.6439	-6.6439	-4.1588	-6.6439	-6.6439	-6.6439	-5.5226	-4.8598	-6.6439	4.9801	4.9726	5.2545	-6.6439	-6.6439	-6.6439	-6.6439	-4.0645	-6.6439	-4.9075	-6.6439	-6.6439	-6.6439	-4.9939	-3.1709	-6.6439
C1orf172	-1.2616	-6.6439	-6.6439	-4.7817	3.1207	-6.6439	-4.9136	3.3295	-6.6439	3.8887	4.2421	3.9041	4.1381	-3.9406	-3.5283	-6.6439	-6.6439	-6.6439	-6.6439	3.7507	3.5011	3.4841	3.2399	2.6605	2.838	-6.6439	-4.6891	-6.6439	3.768	-2.5488	-1.7907	-6.6439	-3.9059	-6.6439	-6.6439	-3.2909	1.5338	-3.0075
TOX2	5.6555	4.4755	4.8401	4.3519	2.575	3.7572	5.2389	2.9658	5.0199	-5.3253	-6.6439	-4.7614	-3.6985	4.1654	4.2623	4.3155	4.5905	4.4248	3.0537	-4.5616	-6.6439	-6.6439	-1.7028	-2.8908	-3.0311	3.8765	5.7397	2.9473	0.2927	-3.6714	-3.6213	-6.6439	-2.7781	-6.6439	-1.9941	-2.7751	-2.7463	-3.3039
GDA	-1.3152	-4.0889	-5.2482	-2.1495	2.7669	-0.8282	-3.726	2.9128	-2.267	6.0106	6.8306	6.4169	5.4294	-1.2611	-3.4686	3.2343	1.6507	1.5557	-4.4843	5.4827	4.2076	2.8413	-4.9682	-6.6439	-6.6439	-5.7054	-5.1542	-6.6439	-2.669	4.3057	4.7184	-2.4439	4.8868	-3.1181	4.0565	4.1668	5.5691	3.9883
PRAME	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-2.4756	-1.2376	-6.6439	-2.1181	-2.7231	-3.3016	-4.6513	-4.0818	-3.6834	4.1206	2.9225	1.7074	2.0959	6.6877	6.4622	4.1822	3.7298	2.971	3.3377	-4.5401	-5.8899	-4.6115	-6.6439	-5.275	-6.6439	-5.3706	-6.6439	-6.6439
RPE65	-6.6439	-6.6439	-6.6439	-5.1471	-5.2075	-6.6439	-6.6439	-6.6439	-5.6987	-3.4597	-6.6439	-4.2205	-5.151	4.0135	4.2252	4.0679	3.6395	3.5441	4.2458	2.2283	3.1157	3.0095	-4.5673	-3.6881	-4.3063	-6.6439	-5.648	-6.6439	-6.6439	2.811	1.0632	0.5972	1.8781	1.8282	1.8095	1.6307	2.7841	3.3149
WFDC2	0.386	-6.6439	-3.432	-6.6439	4.5388	-3.3158	-3.5762	7.2275	-6.6439	2.8856	5.0441	2.7179	0.6767	0.5876	1.0886	-0.0632	-1.6498	-0.2956	1.1127	5.9973	4.6177	5.5318	4.9157	5.4421	6.4763	-6.6439	-6.6439	-3.4417	4.4267	2.2483	2.9889	-6.6439	-1.8314	-1.966	0.278	0.9942	6.621	5.5063
SOX21	4.4526	1.0758	1.2142	1.0776	2.9551	0.4277	1.2266	0.291	1.3707	-6.6439	-6.6439	-4.636	-5.1155	4.8976	4.7294	5.6021	3.933	5.4686	4.7791	-2.0206	3.8444	0.9403	-4.0557	-4.0555	-5.009	1.7026	1.8161	-5.1333	0.4719	-5.0951	-6.6439	-6.6439	-6.6439	-4.7285	-5.6671	-6.6439	-6.6439	-6.6439
AKR1B10	3.9082	3.3511	2.4762	2.4987	6.8706	1.4771	2.0106	5.0047	2.8587	8.7659	9.1854	7.9307	9.1273	-1.2695	-4.6851	-1.7863	-1.1154	-2.642	-2.893	-3.6163	-3.3326	-6.6439	-6.6439	-3.7738	-3.713	-2.3872	-2.2865	-1.3121	1.6713	5.0946	5.2238	-0.7222	4.0769	-1.0733	4.7327	2.5875	5.5379	3.7628
MMP3	-0.7681	-3.531	1.5496	-3.5066	-4.8638	4.2281	-3.3012	-3.9411	-6.6439	-4.9178	-3.3107	-5.6169	-4.0169	-1.694	-0.8248	-0.9345	-1.8739	1.1375	0.3657	-4.8371	-6.6439	-6.6439	-6.6439	-6.6439	-4.6832	0.819	-3.9053	0.1404	-4.685	6.1161	6.8067	5.4096	1.4599	7.838	5.1579	5.2829	0.8973	6.0843
GPX2	0.8186	-4.1354	-3.2636	-4.1127	4.9496	-4.0235	-3.4098	5.0129	-3.2226	8.5414	8.9343	7.8996	8.7425	-4.0589	-6.6439	-4.1859	-2.4284	-6.6439	-1.9427	0.61	1.7764	-1.5575	-1.0759	-1.9251	-1.0329	-6.6439	-6.6439	-4.1402	-2.5622	-2.681	-3.1684	-3.3052	-3.5203	-2.7364	-2.2818	-4.271	-2.6609	-6.6439
LUM	4.8195	7.4082	6.158	6.8212	-2.0509	2.8945	4.6617	-2.7101	5.069	7.0494	4.0008	5.4586	3.5325	-3.2661	-3.0724	-2.8712	-0.37	-3.0199	-2.7274	-6.6439	-3.6929	-3.8765	0.8278	-2.9546	-4.0595	4.9397	2.1918	7.8946	2.5385	0.9651	5.7195	-6.6439	-1.0921	-6.6439	4.2687	3.623	4.0302	3.7024
TDRP	1.5023	0.4281	2.0154	0.5203	2.4684	1.365	1.738	1.649	1.8966	-6.6439	-6.6439	-6.6439	-4.0539	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-4.8286	-6.6439	4.4706	4.6309	4.8304	1.7469	1.66	2.0822	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439
TMEM125	-0.5074	-6.6439	-6.6439	-6.6439	2.0255	-4.6931	-6.6439	2.8397	-6.6439	3.5358	4.0912	4.4772	3.4757	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	-6.6439	3.4315	3.0285	3.3882	3.7202	2.9516	3.3221	-6.6439	-6.6439	-6.6439	-0.3342	-3.9625	-0.2547	-6.6439	-3.8943	-3.5072	-4.7477	-3.875	-0.2145	-4.6856
TFPI2	6.9444	5.1323	4.8479	4.152	4.538	5.6901	4.5729	5.0437	5.7404	-2.876	-1.6561	-1.2124	-1.584	-1.5153	-4.3398	-3.0052	-6.6439	-0.995	-1.9159	-4.35	-6.6439	-6.6439	2.2944	-0.1995	2.9349	-2.3981	-6.6439	-3.4841	-4.1814	-6.6439	-6.6439	-3.5154	-4.219	-2.9547	-3.425	-6.6439	-4.2668	-6.6439
EPS8L1	-1.5335	-4.0318	-5.2053	-4.0088	2.726	-5.1221	-5.3058	5.2698	-6.6439	4.0418	4.5639	4.7757	4.0727	-5.1496	-5.219	-6.6439	-5.267	-6.6439	-6.6439	5.084	4.6137	4.0648	3.6313	2.449	2.8827	-4.3677	-6.6439	-4.2531	3.3355	-4.4625	-3.5186	-4.0661	-2.4881	-3.6828	-5.17	-5.5467	1.7963	-3.9097
